country,harbour_cd,harbour_name
FRA,FRBRE,Brtigny-sur-Orge
FRA,FRBZB,Brzellec
FRA,FRBET,Bthune
FRA,FRBG5,Buguls
FRA,FRBZR,Bziers
FRA,FRCFR,Caen
FRA,FRZAO,Cahors
FRA,FRCQF,Calais
FRA,FRCLY,Calvi
FRA,FRCAM,Camaret-sur-Mer
FRA,FRCM6,Camol
FRA,FRCM5,Campoloro
FRA,FRV35,Cancale
FRA,FRPYO,Canet-en-Roussillon
FRA,FRCEQ,Cannes
FRA,FRCBT,Capbreton
FRA,FRCC5,CapCoz
FRA,FRCIF,Cap-d'Antifer
FRA,FRCRN,Carantec
FRA,FRCCF,Carcassonne
FRA,FRCTA,Carentan
FRA,FRCG3,Cargse
FRA,FRCQI,Carqueiranne
FRA,FRCR2,Carro
FRA,FRRYR,Carry-le-Rouet
FRA,FRCRT,Carteret
FRA,FRAIS,Cassis
FRA,FRCS9,Cassy
FRA,FRCAS,Castres
FRA,FRCAV,Cavaillon
FRA,FRCAY,Cayeux-sur-Mer
FRA,FRCN5,Centuri
FRA,FRCEB,Cerbre
FRA,FRCEP,Cergy
FRA,FRHAB,Chablis
FRA,FRCT4,Chaillevette
FRA,FRCSS,Chalon-sur-Sane
FRA,FRCMF,Chambry
FRA,FRCHS,Champigneulles
FRA,FRCDM,Champs-de-Mars/Lille
FRA,FRCDG,Charles-de-GaulleApt/Paris
FRA,FRCHM,Charleville-Mzires
FRA,FRZYH,Charnizay
FRA,FRCJH,Charron
FRA,FRCHA,Chartres
FRA,FRCHX,Chateaucreux/Saint-Etienne
FRA,FRCHN,Chaulnes
FRA,FRCMT,Chaumont
FRA,FRCHY,Chauny
FRA,FRC2H,Chausey
FRA,FRCER,Cherbourg
FRA,FRCSM,Chlons-en-Champagne
FRA,FRCHO,Choisy-le-Roi
FRA,FRCET,Cholet
FRA,FRCAR,Chteau-Arnoux
FRA,FRCHR,Chteauroux
FRA,FRHTP,Chtelaillon-Plage
FRA,FRCHL,Chtellerault
FRA,FRCLA,Clamart
FRA,FRCL6,Claouey
FRA,FRCL7,Clder
FRA,FRCFE,Clermont-Ferrand
FRA,FRHCN,Clohars-Carnot
FRA,FRCLE,Clon
FRA,FRCLU,Cluses
FRA,FRCNG,Cognac
FRA,FRCQK,Cogolin
FRA,FRURU,Collioure
FRA,FRCMR,Colmar
FRA,FRCMP,Compigne
FRA,FRCOC,Concarneau
FRA,FRCEJ,Conflans-en-Jarnisy
FRA,FRCN6,Contis
FRA,FRCRX,Contrexville
FRA,FRCOR,Corbehem
FRA,FRCOE,Corbeil-Essonnes
FRA,FRCXY,Cordemais
FRA,FRCQV,Cosqueville
FRA,FRCOI,Coudeville
FRA,FRBP2,Courbpine
FRA,FRCVF,Courchevel
FRA,FRCUN,Couron
FRA,FRCM8,Courseulles-sur-Mer
FRA,FRCOU,Coussoul/Fos-sur-Mer
FRA,FRCQX,Crach
FRA,FRCRL,Creil
FRA,FRCRD,Creutzwald
FRA,FRCRO,Cronenbourg
FRA,FRCEV,Crpy-en-Valois
FRA,FRCUZ,Culoz
FRA,FRDHA,Dahout
FRA,FRDGD,Damgan
FRA,FRDAX,Dax
FRA,FRDOL,Deauville
FRA,FRDEL,Delle
FRA,FRDEI,Denneville
FRA,FRDPE,Dieppe
FRA,FRDGN,Digne
FRA,FRDIJ,Dijon
FRA,FRPTN,Dijon-PorteNeuve
FRA,FRDIL,Dilette
FRA,FRDNR,Dinard
FRA,FRDSM,Dives-sur-Mer
FRA,FRDLV,Dlivrance/Lille
FRA,FRDLE,Dole
FRA,FRDON,Donges
FRA,FRDBI,Donville-les-Bains
FRA,FRDOI,Douai
FRA,FRDRZ,Douarnenez
FRA,FRDRE,Dreux
FRA,FRDKK,Dunkerque
FRA,FREC8,Echir
FRA,FRQUY,Erquy
FRA,FREEA,EstuairedelaGironde
FRA,FREOE,EstuairedelaLoire
FRA,FREBQ,EtangdeBages-Sigean
FRA,FREGL,Etangdel'Ayrolle
FRA,FREDH,EtangdeMauguio
FRA,FREVT,EtangduPrvost
FRA,FRE29,Etel
FRA,FRFAC,Facture
FRA,FRFEC,Fcamp
FRA,FRF2V,Fermanville
FRA,FRFEY,Feyzin
FRA,FRFSC,Figari
FRA,FR3FC,Flines-lez-Raches
FRA,FRFOI,Foix
FRA,FRT7M,Fontaine-Mcon
FRA,FRFOM,Fontenay-sur-Mer
FRA,FRFOR,Forbach
FRA,FRFDE,Fort-De-France
FRA,FR,Fort-De-France=MqFdf
FRA,FRFOS,Fos-sur-Mer
FRA,FRFOU,Fougres
FRA,FRFUA,Fouras
FRA,FR999,France-Unknown
FRA,FRFRJ,Frjus
FRA,FRFRO,Frontignan
FRA,FRGAD,Gaillard
FRA,FRGAI,Gaillon
FRA,FRG9J,Gajan
FRA,FRGAN,Gannat
FRA,FRGAT,Gap
FRA,FRSLA,GareSaint-Laud/Angers
FRA,FRGLG,Garges-ls-Gonesse
FRA,FRGVL,Gennevilliers
FRA,FRGTN,Gents
FRA,FRGEX,Gex
FRA,FRGIN,Giens
FRA,FRGIS,Givors
FRA,FRGJE,GolfeJuan
FRA,FRONE,Gonesse
FRA,FRGLO,Gonfreville-l'Orcher
FRA,FRGR5,Goury
FRA,FRF2N,Gouville-sur-Mer
FRA,FRGCP,Grandcamp
FRA,FRGRC,Grand-Couronne
FRA,FRGPO,Grand-Fort-Philippe
FRA,FRGQE,GrandPiquey
FRA,FRGBC,Grandpuits-Bailly-Carrois
FRA,FRGFR,Granville
FRA,FRGRS,Grasse
FRA,FRGRV,Gravelines
FRA,FRGV6,Gravette
FRA,FRGRK,Grenade
FRA,FRGNB,Grenoble
FRA,FRGRA,Gretz-Armainvilliers
FRA,FRG2X,Groix
FRA,FRWGE,Gruissan
FRA,FRGRE,Guillotire/Lyon
FRA,FRGVC,Guilvinec
FRA,FRGUI,Guingamp
FRA,FRGMS,Gujan-Mestras
FRA,FRGUE,Guret
FRA,FRGB2,Guthary
FRA,FRGV5,Gvres
FRA,FRHAE,Hagondange
FRA,FRHAG,Haguenau
FRA,FRHNE,Han-sur-Meuse
FRA,FRHRF,Harfleur
FRA,FRHSA,Hauteville-sur-Mer
FRA,FRHEN,Hendaye
FRA,FRHET,Hennebont
FRA,FRHEB,Hnin-Beaumont
FRA,FRHDO,Hoedic
FRA,FRHON,Honfleur
FRA,FRHOU,Hourcade
FRA,FRHOE,Hrdt
FRA,FRHUN,Huningue
FRA,FRIRI,Irigny
FRA,FRISM,Isigny-sur-Mer
FRA,FRISS,Issoire
FRA,FRIT2,Ittenheim
